Meal_ID,Dish_Name,Cuisine_Type,Meal_Type,Dietary_Preference,Main_Ingredients,Calories_per_Serving,Protein_Content(g),Difficulty_Level,Occasion_Type
M0001,Curd Rice,South Indian,Dinner,High-Protein,"Rice, Curd, Spices",421,22,Hard,Restaurant-Special
M0002,Lemon Rice,South Indian,Lunch,Keto,"Rice, Lemon, Spices",558,36,Easy,Festive
M0003,Idli Sambar,South Indian,Lunch,Keto,"Rice, Lentils, Vegetables",555,41,Easy,Party
M0004,Rasam Rice,South Indian,Lunch,Gluten-Free,"Tamarind, Tomato, Spices",267,12,Hard,Party
M0005,Chicken Chettinad,South Indian,Breakfast,Vegetarian,"Chicken, Coconut, Spices",291,24,Easy,Party
M0006,Upma,South Indian,Lunch,Gluten-Free,"Rava, Vegetables, Spices",682,26,Medium,Daily
M0007,Lemon Rice,South Indian,Breakfast,High-Protein,"Rice, Lemon, Spices",177,17,Medium,Festive
M0008,Upma,South Indian,Lunch,High-Protein,"Rava, Vegetables, Spices",632,36,Hard,Festive
M0009,Lemon Rice,South Indian,Lunch,High-Protein,"Rice, Lemon, Spices",287,12,Medium,Festive
M0010,Fish Curry,South Indian,Breakfast,Non-Vegetarian,"Fish, Tamarind, Spices",224,9,Hard,Daily
M0011,Upma,South Indian,Lunch,Vegetarian,"Rava, Vegetables, Spices",851,33,Hard,Festive
M0012,Lemon Rice,South Indian,Lunch,Keto,"Rice, Lemon, Spices",497,38,Easy,Party
M0013,Fish Curry,South Indian,Snack,Vegetarian,"Fish, Tamarind, Spices",548,31,Medium,Daily
M0014,Masala Dosa,South Indian,Lunch,Gluten-Free,"Rice, Lentils, Potato",553,20,Hard,Daily
M0015,Rasam Rice,South Indian,Snack,Vegetarian,"Tamarind, Tomato, Spices",676,33,Easy,Restaurant-Special
M0016,Vada,South Indian,Lunch,High-Protein,"Lentils, Spices",602,16,Hard,Daily
M0017,Rasam Rice,South Indian,Lunch,Gluten-Free,"Tamarind, Tomato, Spices",810,9,Easy,Daily
M0018,Pongal,South Indian,Breakfast,Vegan,"Rice, Moong Dal, Ghee",760,42,Easy,Festive
M0019,Pongal,South Indian,Breakfast,Vegan,"Rice, Moong Dal, Ghee",394,41,Medium,Party
M0020,Idli Sambar,South Indian,Lunch,Gluten-Free,"Rice, Lentils, Vegetables",345,16,Easy,Daily
M0021,Masala Dosa,South Indian,Lunch,High-Protein,"Rice, Lentils, Potato",489,33,Medium,Daily
M0022,Pongal,South Indian,Breakfast,High-Protein,"Rice, Moong Dal, Ghee",823,44,Easy,Party
M0023,Curd Rice,South Indian,Snack,Non-Vegetarian,"Rice, Curd, Spices",288,12,Easy,Daily
M0024,Vada,South Indian,Dinner,Vegetarian,"Lentils, Spices",440,4,Hard,Restaurant-Special
M0025,Lemon Rice,South Indian,Lunch,Vegetarian,"Rice, Lemon, Spices",356,37,Hard,Daily
M0026,Idli Sambar,South Indian,Dinner,Vegetarian,"Rice, Lentils, Vegetables",772,45,Hard,Restaurant-Special
M0027,Idli Sambar,South Indian,Snack,Vegetarian,"Rice, Lentils, Vegetables",731,16,Medium,Festive
M0028,Rasam Rice,South Indian,Lunch,Vegetarian,"Tamarind, Tomato, Spices",193,27,Easy,Festive
M0029,Vada,South Indian,Lunch,Vegan,"Lentils, Spices",575,16,Easy,Daily
M0030,Lemon Rice,South Indian,Lunch,Vegan,"Rice, Lemon, Spices",648,9,Medium,Party
M0031,Rasam Rice,South Indian,Dinner,Keto,"Tamarind, Tomato, Spices",200,16,Medium,Daily
M0032,Rasam Rice,South Indian,Dinner,High-Protein,"Tamarind, Tomato, Spices",475,42,Easy,Daily
M0033,Pongal,South Indian,Snack,Vegetarian,"Rice, Moong Dal, Ghee",514,32,Medium,Daily
M0034,Pongal,South Indian,Lunch,Gluten-Free,"Rice, Moong Dal, Ghee",202,21,Easy,Restaurant-Special
