Meal_ID,Dish_Name,Cuisine_Type,Meal_Type,Dietary_Preference,Main_Ingredients,Calories_per_Serving,Protein_Content(g),Difficulty_Level,Occasion_Type
M3995,Veg Fried Rice,Indo-Chinese,Dinner,Vegetarian,"Rice, Mixed Veg, Soy Sauce",200,27,Medium,Party
M0424,Vada,South Indian,Dinner,High-Protein,"Lentils, Spices",791,24,Easy,Restaurant-Special
M2992,Gobi Manchurian,Indo-Chinese,Snack,Vegetarian,"Cauliflower, Maida, Spices",277,44,Medium,Festive
M1222,Rasam Rice,South Indian,Dinner,Vegan,"Tamarind, Tomato, Spices",680,28,Easy,Daily
M0507,Rasam Rice,South Indian,Dinner,Gluten-Free,"Tamarind, Tomato, Spices",410,21,Medium,Festive
M3861,Veg Spring Rolls,Indo-Chinese,Dinner,High-Protein,"Vegetables, Maida, Spices",496,7,Hard,Party
M3564,Veg Spring Rolls,Indo-Chinese,Snack,Gluten-Free,"Vegetables, Maida, Spices",719,18,Hard,Restaurant-Special
M1124,Curd Rice,South Indian,Lunch,Gluten-Free,"Rice, Curd, Spices",191,6,Hard,Party
M2513,Schezwan Noodles,Indo-Chinese,Lunch,Vegan,"Noodles, Vegetables, Schezwan Sauce",679,17,Medium,Party
M0501,Vada,South Indian,Lunch,High-Protein,"Lentils, Spices",635,10,Hard,Restaurant-Special
M1109,Fish Curry,South Indian,Snack,High-Protein,"Fish, Tamarind, Spices",817,37,Hard,Party
M1282,Lemon Rice,South Indian,Lunch,Vegetarian,"Rice, Lemon, Spices",404,16,Hard,Restaurant-Special
M0550,Masala Dosa,South Indian,Breakfast,Vegetarian,"Rice, Lentils, Potato",330,3,Medium,Festive
M0558,Idli Sambar,South Indian,Lunch,High-Protein,"Rice, Lentils, Vegetables",237,32,Easy,Festive
M1602,Butter Chicken,North Indian,Breakfast,Vegetarian,"Chicken, Butter, Tomato",849,36,Medium,Restaurant-Special
M0603,Fish Curry,South Indian,Lunch,High-Protein,"Fish, Tamarind, Spices",470,17,Hard,Restaurant-Special
M0443,Curd Rice,South Indian,Snack,Vegetarian,"Rice, Curd, Spices",816,33,Easy,Daily
M1780,Palak Paneer,North Indian,Dinner,Non-Vegetarian,"Spinach, Paneer, Spices",178,33,Easy,Daily
M0219,Pongal,South Indian,Lunch,Vegan,"Rice, Moong Dal, Ghee",461,9,Easy,Restaurant-Special
M2108,Chole Bhature,North Indian,Dinner,Vegetarian,"Chickpeas, Maida, Spices",502,43,Hard,Daily
M0898,Rasam Rice,South Indian,Lunch,Keto,"Tamarind, Tomato, Spices",491,19,Easy,Party
M0737,Chicken Chettinad,South Indian,Snack,Non-Vegetarian,"Chicken, Coconut, Spices",695,20,Medium,Party
M3324,Chilli Chicken,Indo-Chinese,Snack,High-Protein,"Chicken, Capsicum, Spices",338,30,Medium,Restaurant-Special
M2481,Veg Spring Rolls,Indo-Chinese,Breakfast,Non-Vegetarian,"Vegetables, Maida, Spices",779,27,Hard,Daily
M3817,Schezwan Noodles,Indo-Chinese,Breakfast,Vegetarian,"Noodles, Vegetables, Schezwan Sauce",387,35,Medium,Festive
M2060,Chole Bhature,North Indian,Snack,Vegetarian,"Chickpeas, Maida, Spices",623,28,Medium,Party
M1905,Kadhi Pakora,North Indian,Dinner,Non-Vegetarian,"Besan, Curd, Spices",884,27,Easy,Restaurant-Special
M3383,Chicken Manchurian,Indo-Chinese,Lunch,Keto,"Chicken, Maida, Spices",299,12,Hard,Festive
M1667,Aloo Paratha,North Indian,Breakfast,Vegan,"Wheat, Potato, Spices",754,45,Medium,Restaurant-Special
M3959,Veg Fried Rice,Indo-Chinese,Breakfast,Non-Vegetarian,"Rice, Mixed Veg, Soy Sauce",845,21,Easy,Restaurant-Special
M2830,Chicken Fried Rice,Indo-Chinese,Dinner,Non-Vegetarian,"Rice, Chicken, Soy Sauce",673,22,Hard,Festive
M3131,Chicken Manchurian,Indo-Chinese,Snack,High-Protein,"Chicken, Maida, Spices",678,4,Easy,Festive
M3342,Gobi Manchurian,Indo-Chinese,Snack,Non-Vegetarian,"Cauliflower, Maida, Spices",256,27,Easy,Party
M2482,Gobi Manchurian,Indo-Chinese,Dinner,Gluten-Free,"Cauliflower, Maida, Spices",671,4,Hard,Festive
M1205,Upma,South Indian,Breakfast,Non-Vegetarian,"Rava, Vegetables, Spices",425,16,Hard,Festive
M1160,Pongal,South Indian,Dinner,Non-Vegetarian,"Rice, Moong Dal, Ghee",481,44,Easy,Festive
M2291,Aloo Paratha,North Indian,Dinner,High-Protein,"Wheat, Potato, Spices",212,43,Medium,Festive
M1534,Biryani,North Indian,Breakfast,Vegan,"Rice, Meat/Vegetables, Spices",789,11,Easy,Daily
M0806,Masala Dosa,South Indian,Breakfast,High-Protein,"Rice, Lentils, Potato",407,9,Hard,Restaurant-Special
M2707,American Chopsuey,Indo-Chinese,Breakfast,Gluten-Free,"Noodles, Vegetables, Sauce",585,40,Easy,Party
M1875,Kadhi Pakora,North Indian,Lunch,Non-Vegetarian,"Besan, Curd, Spices",803,33,Hard,Daily
